username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Clayton Sterling,74431425,"Vancouver, BC",2023-01-20 16:46:42,"@Jacksun0 @EndWokeness That's true too, the BLM riots destroyed and burnt down police station. I don't recall that… https://t.co/URgvLYFwwe",0,Twitter Web App,
Dapo Adesuyi,346276809,"📍Vancouver, British Columbia",2023-01-20 16:37:46,@Miz_Amy_ #EndSARS drew inspiration from #BLM???? This guy dey ment!,1,Twitter for iPhone,
Backyard_Books,1611669086,"Vancouver, BC",2023-01-20 16:03:07,#internet #peace #chaos #PeaceAndChaos #Uwe #BLM   A wonderful world wide discovery like the Internet should not en… https://t.co/1GQ7e2roXP,0,SocialOomph,
AnticuckStr8Wmale,828013383592992768,Vancouver Canada,2023-01-20 05:48:29,@mdt546 Taking the knee to BLM made me lose respect for professional sports. This guy gives me alittle hope,0,Twitter for iPhone,
Monte Oates,1573859401,"Vancouver, BC",2023-01-20 01:40:36,@SeamusORegan What’s disgraceful is that you hate PP so much that you slander him at every opportunity. Why don’t y… https://t.co/KdoX7xxyBz,0,Twitter for iPhone,
Bella Belle,1250153259072770048,Richmond BC,2023-01-19 23:53:32,@simpson_zuzana Trans &amp; LGBTQ have never received so much attention prior to covid. Why? Why now? &amp; Why force it on… https://t.co/YFJeksztFz,0,Twitter Web App,
𝐾𝑜𝑎𝑙𝑖𝑡𝑦 𝐾𝑜𝑛𝑡𝑒𝑛𝑡🫠シ,1239378754524381187,"Vancouver, British Columbia",2023-01-19 18:14:40,@lwanga_miriam 😹😹they said blm ✊🏿,0,Twitter for iPhone,
Julia,870106159201439748,Vancouver Canada ,2023-01-19 02:27:43,"@jybyrd76 @RonFilipkowski @tylersmom1212 And in today's politics, probably Republicans that have infiltrated BLM.",0,Twitter for Android,
Matt Meljenevic,1517636662003593217,"Vancouver, British Columbia",2023-01-19 00:22:16,@CollinRugg Will the BLM flags be hung in the builds the BLM burnt down ?,0,Twitter for iPhone,
G Phillip Braun,2386365565,Vancouver🇨🇦,2023-01-18 23:50:37,@CTVVancouver That patch was around pre WATTS.  Way before BLM.  Woke Leftists looking for symbolism in everything.… https://t.co/fCyHTzq1fs,0,Twitter Web App,
